X,Y,L
-174354.64622013926,744824.4879956046,n78
-174353.6234364583,744813.0595150836,n79
-174351.95261444894,744794.3899273543,n80
-174350.02312038108,744774.7906801475,n81
-174486.26408441731,744708.9112165355,n82
-174489.92443090328,744697.0251970332,n83
-174498.9018730712,744665.351655652,n84
-174502.49134725903,744646.3281824784,n85
-174508.61415093957,744619.6831399748,n86
-174509.14366445254,744592.2165308592,n87
-174508.2192842806,744568.4216756956,n88
-174506.75063662842,744549.9502098801,n89
-174504.95316686374,744533.2145973339,n90
-174503.02728230532,744492.1317204204,n91
-174501.84370438266,744470.4911449434,n92
-174501.14071330475,744457.637645795,n93
-174497.9385995157,744428.1923593293,n94
-174496.49724295907,744414.9382578409,n95
-174488.23941183256,744379.7035308197,n96
-174481.5862977185,744351.3158499222,n97
-174473.5546196779,744312.7052645627,n98
-174466.89446848258,744280.5965386138,n99
-174462.99611646883,744254.9937265831,n100
-174453.6411150052,744193.1871518417,n101
-174449.01192472546,744159.8068443376,n102
-174445.49645910287,744134.2932955242,n103
-174443.52456928964,744119.9822759758,n104
-174440.43451728538,744100.7682246835,n105
-174438.18230562902,744086.7638952676,n106
-174434.06953536248,744060.6941961523,n107
-174425.5033867353,743998.5707733958,n108
-174414.06094369825,743906.8046073855,n109
-174410.3767572281,743877.2399722211,n110
-174399.14753984674,743786.9157254582,n111
-174390.9354038714,743720.8599862955,n112
-174387.06955815208,743689.7644054962,n113
-174282.62733469458,744711.6138945587,n114
-174299.91815510366,744707.6658641006,n115
-174320.38445742003,744704.526866694,n116
-174335.70313039832,744701.6724073563,n117
-174366.68421116663,744696.6650895681,n118
-174395.25866722703,744690.3061568876,n119
-174409.24394207122,744686.1680048662,n120
-174444.40719504905,744674.1935443127,n121
-174455.73928599642,744670.334519109,n122
-174471.43137999915,744669.7806366544,n123
-174484.74763315063,744666.6206516596,n124
-174404.1683021782,744662.1892787683,n125
-174402.06436380217,744650.6227213462,n126
-174399.0535442425,744632.4719521049,n127
-174395.23034457988,744612.3264465784,n128
-174391.50927788997,744594.1215562499,n129
-174457.6835066216,744579.5498336002,n130
-174469.62931246098,744578.7243689155,n131
-174388.14473661786,744574.9100472974,n132
-174379.31432927545,744552.899468198,n133
-174367.00040488617,744552.8634185464,n134
-174349.91460187823,744554.6127988056,n135
-174339.62447691945,744556.4314628692,n136
-174318.72159306475,744558.3201996504,n137
-174309.29439830914,744559.4899118285,n138
-174288.29401847557,744557.1263831339,n139
-174297.59709920976,744583.050127973,n140
-174299.9051892546,744600.4792274473,n141
-174300.9858705917,744618.9378797174,n142
-174302.01086785778,744636.4454313267,n143
-174298.35069270257,744652.608827086,n144
-174305.9624544114,744667.6619453714,n145
-174307.69877810474,744678.9173089594,n146
-174324.05208359228,744672.4981396975,n147
-174339.52678015945,744678.4415221285,n148
-174290.19297180962,744653.7550970736,n149
-174285.3458717307,744622.2347471036,n150
-174259.8164781997,744626.5950806058,n151
-174236.71778313382,744636.0542027846,n152
-174208.16457522713,744642.4809714415,n153
-174245.7792047849,744661.9222362102,n154
-174230.5980704704,744614.5683570983,n155
-174228.1535865439,744602.0398287968,n156
-174214.5747335893,744600.9009018204,n157
-174196.42344627998,744593.3501838514,n158
-174182.218373349,744594.8080514116,n159
-174152.8085171634,744600.0200832572,n160
-174137.2589100867,744602.8235501449,n161
-174124.34090706226,744605.634729178,n162
-174105.12262417693,744606.4780737712,n163
-174090.0356607461,744603.8346869098,n164
-174071.9735764208,744599.7830330956,n165
-174277.4025085418,744603.8590752924,n166
-174272.45713884875,744591.852743895,n167
-174268.9289622337,744580.7418856082,n168
-174266.62429706525,744573.0273797679,n169
-174265.7813761501,744570.2861213033,n170
-174264.32011115187,744560.4850840542,n171
-174272.213891905,744612.3910517999,n172
-174265.73270686896,744621.4690603456,n173
-174243.58344012452,744622.8037010558,n174
-174237.14069679182,744618.5862085673,n175
-174269.67280134704,744592.4929709864,n176
-174293.17702129437,744540.4262875381,n177
-174291.61788987982,744530.1251345004,n178
-174290.10898940355,744519.6241969033,n179
-174294.76354528646,744506.8920601272,n180
-174317.22983231215,744503.0716217175,n181
-174331.44891767146,744500.6536318454,n182
-174343.59672229958,744498.5878651406,n183
-174387.91878302503,744490.5148429062,n184
-174403.01331731922,744487.7654467727,n185
-174258.351381326,744512.533494575,n186
-174237.48561876165,744516.4710362969,n187
-174213.91431766129,744528.7978535198,n188
-174195.89265004222,744551.9773315401,n189
-174192.63642589058,744572.2210755087,n190
-174167.77816542925,744583.1445692296,n191
-174156.8507662657,744584.4121047356,n192
-174130.01939636472,744590.8312858952,n193
-174109.05102451154,744593.4722274645,n194
-174096.7331449433,744597.2315227633,n195
-174104.2563245921,744557.3528318031,n196
-174106.12509321587,744543.1770013158,n197
-174116.4806573887,744533.6105547093,n198
-174130.20335621643,744527.252916124,n199
-174152.8616535216,744523.6754322193,n200
-174177.2333514261,744521.2903961352,n201
-174212.93403829646,744518.4437066361,n202
-174236.8287971059,744537.562111332,n203
-174239.94906216022,744557.4646587276,n204
-174245.9800518369,744571.1325821194,n205
-174223.05146692766,744562.8133572133,n206
-174203.84870364974,744572.8104141207,n207
-174224.09444876993,744597.1582505443,n208
-174243.7675465117,744557.9379031989,n209
-174343.27684230937,744673.2991070786,n210
-174265.90846238876,744715.2387018789,n211
-174248.42827813898,744715.9872167705,n212
-174246.89199540985,744697.788693861,n213
-174249.10737125247,744687.1986708295,n214
-174255.26903348687,744675.6653658828,n215
-174267.06586650907,744692.7494844648,n216
-174271.51250696753,744698.1399309913,n217
-174377.7651439769,744599.3045960692,n218
-174355.70709729343,744603.4386274357,n219
-174357.8652532853,744612.6419118608,n220
-174357.30299014092,744612.7041489602,n221
-174337.1565183351,744544.0782303453,n222
-174381.87188727886,744534.5642655039,n223
-174391.62862966358,744550.9009018411,n224
-174236.32990783596,744512.2450741985,n225
-174184.8434872638,744485.1136939538,n226
-174189.66442954759,744483.8916917611,n227
-174173.18746484886,744549.8214754588,n228
-174151.06109741514,744533.0042102485,n229
-174114.63243652636,744555.2921339762,n230
-174286.0513468806,744487.2038105426,n231
-174231.79356930318,744495.657539035,n232
-174304.65808272245,744485.0283108674,n233
-174327.13725048673,744481.9295006283,n234
-174326.72073683885,744460.2187601771,n235
-174362.56682811948,744452.4841590697,n236
-174395.76732217587,744448.1188264454,n237
-174438.08528057951,744439.6794638078,n238
-174451.9547133331,744437.0176357249,n239
-174450.5880910466,744425.0018169737,n240
-174454.1123969658,744407.7651278741,n241
-174478.35212423126,744394.6897236236,n242
-174545.3129279668,744544.8622724854,n243
-174562.90423262498,744541.189064392,n244
-174586.1236407022,744536.3406528602,n245
-174617.4379527391,744524.7505748243,n246
-174630.64778780346,744514.1756199311,n247
-174641.12609097591,744509.3444241856,n248
-174646.24410088576,744506.9846797208,n249
-174674.47366477663,744501.699879526,n250
-174582.9643652759,744513.5538012633,n251
-174608.38623317468,744506.0297716127,n252
-174606.3280446143,744498.7399755899,n253
-174640.83356585898,744492.7973507406,n254
-174651.49840486073,744471.4807903245,n255
-174654.00391572824,744454.3616928757,n256
-174655.49033535202,744437.4808395855,n257
-174651.67994380524,744408.5236667449,n258
-174652.20509112647,744392.6048860382,n259
-174651.80096108612,744366.5522903182,n260
-174647.5371525408,744349.4134462712,n261
-174634.37118524866,744344.7918610227,n262
-174608.23227189772,744351.7107604498,n263
-174576.1035132185,744358.3709217405,n264
-174565.79422305687,744360.270519088,n265
-174612.19462027613,744419.0818715277,n266
-174600.7922725314,744604.9670596177,n267
-174516.73359349425,744670.8149182133,n268
-174540.38662307864,744695.0059081049,n269
-174549.47767259844,744700.0980787085,n270
-174566.33836996762,744711.4846440123,n271
-174578.89804206838,744718.6373113213,n272
-174595.28577068777,744727.8515264035,n273
-174608.43267676525,744739.1066189669,n274
-174566.59358017409,744768.3525999828,n275
-174566.49294444916,744782.4635839876,n276
-174544.8063396137,744782.6413670337,n277
-174539.89371405786,744782.74760515,n278
-174540.30264178,744786.408609788,n279
-174544.24801700827,744768.5284565844,n280
-174522.02574937313,744767.4985729022,n281
-174271.1040802843,744478.8707973595,n282
-174265.60535086482,744464.1888623403,n283
-174260.96368257265,744450.5117788431,n284
-174294.01569046368,744458.9772087034,n285
-174402.3955015847,744163.7942879858,n286
-174495.89675225737,744148.2783921364,n287
-174480.0201074814,744128.0904678833,n288
-174535.15924206693,744119.0854708082,n289
-174556.85484647888,744118.0115505494,n290
-174621.91296881298,744115.4795231121,n291
-174622.2089139361,744095.941924316,n292
-174620.32463277836,744084.5992900786,n293
-174611.22114645693,744083.8490497865,n294
