X,Y,L
-174403.4736432049,744548.9784934021,n6432
-174401.49947428133,744549.2988948086,n6431
-174399.5253053578,744549.6192962151,n6430
-174397.55113643422,744549.9396976216,n6429
-174395.5769675107,744550.2600990281,n6428
-174393.60279858712,744550.5805004346,n6427
-174391.62862966358,744550.9009018411,n2665
-174389.18517463614,744551.2974657431,n2664
-174387.211005564,744551.617866234,n2663
-174385.23683649188,744551.938266725,n2662
-174383.26266741974,744552.258667216,n2661
-174381.2884983476,744552.579067707,n2660
-174379.31432927545,744552.899468198,n1696
-174377.31433784595,744552.8936131194,n1697
-174375.31434641648,744552.8877580409,n1698
-174373.31435498697,744552.8819029623,n1699
-174371.31436355747,744552.8760478839,n1700
-174369.31437212796,744552.8701928053,n1701
-174367.00040488617,744552.8634185464,n1702
-174365.01080646642,744553.06712944,n1703
-174363.0212080467,744553.2708403337,n1704
-174361.03160962695,744553.4745512273,n1705
-174359.04201120723,744553.6782621209,n1706
-174357.05241278748,744553.8819730146,n1707
-174355.06281436776,744554.0856839082,n1708
-174353.073215948,744554.2893948018,n1709
-174349.91460187823,744554.6127988056,n1710
-174347.9451252212,744554.9608816942,n1711
-174345.97564856414,744555.3089645829,n1712
-174344.00617190712,744555.6570474715,n1713
-174342.03669525008,744556.0051303601,n1714
-174339.62447691945,744556.4314628692,n1715
-174337.632591779,744556.6114450551,n1716
-174335.64070663854,744556.791427241,n1717
-174333.6488214981,744556.971409427,n1718
-174331.65693635764,744557.151391613,n1719
-174329.6650512172,744557.3313737989,n1720
-174327.67316607674,744557.5113559848,n1721
-174325.6812809363,744557.6913381708,n1722
-174323.68939579584,744557.8713203567,n1723
-174321.6975106554,744558.0513025427,n1724
-174318.72159306475,744558.3201996504,n1725
-174317.90645721197,744560.1465494365,n2602
-174317.09132135918,744561.9728992227,n2603
-174316.27618550643,744563.7992490089,n2604
-174315.46104965365,744565.6255987951,n2605
-174314.64591380086,744567.4519485813,n2606
-174313.83077794808,744569.2782983675,n2607
-174313.0156420953,744571.1046481536,n2608
-174312.20050624255,744572.9309979399,n2609
-174311.38537038976,744574.757347726,n2610
-174310.57023453698,744576.5836975123,n2611
-174309.7550986842,744578.4100472984,n2612
-174308.9399628314,744580.2363970847,n2613
-174308.12482697866,744582.0627468708,n2614
-174307.30969112588,744583.889096657,n2615
-174306.4945552731,744585.7154464432,n2616
-174305.6794194203,744587.5417962294,n2617
